Class,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69
0,6.061438645,6.585390567,20.20852651,2.457459954,2.1885044,1.233683237,1.659148923,0.402050278,6.735467895,1.315958805,44.68631235,4.984008228,1.00133034,54.98844866,221.9679701,95.6558021,0.487156281,2.477723288,2.072327952,0.757269739,0.603718697,1.211168421,0.780234851,3.924782648,19.46984757,1.236899639,0.98125999,0.799726249,0.587379374,12.77033906,475.8035387,9.722411983,8.556530505,0.402050278,1.902823555,31.36912058,144.2059784,8.84092479,3.262396775,22.74170057,0.572133627,1.18981151,16.55076957,11.48622263,24.5520204,4.727339331,3.205209143,0.560683235,71.8531391,15.84148856,25.73449851,10.60415649,21.00825276,84.84637483,5.105202264,1.344198817,3.575545695,0.625397248,2.617508129,117.6324492,6.529489496,0.402050278,0.780492163,0.409898299,0.784737814,8.364704277,0.402050278,3.955145485,3.679628471
0,0.619938262,9.002991421,55.81408326,0.987338474,6.110012324,9.49775175,1.240372475,5.136362086,23.92624446,9.336270231,33.91002781,21.06451025,9.695735233,84.17105128,41.551734,159.8031225,0.897373034,7.95276641,12.5709593,2.717908532,1.084544794,10.97548619,0.49634737,25.13517367,58.37080784,1.050324202,2.053830666,1.645960884,1.49588623,31.1427226,110.6478705,25.5264787,1.547365903,0.854919661,2.697673747,115.6131297,74.31036287,32.09236883,17.48682174,29.56629399,0.754043307,3.690963629,26.57104988,8.755908827,6.710707702,8.12327423,0.869302229,0.842024945,0.939429645,21.34988023,2.741416591,35.51343613,7.864685582,154.0297615,11.72685136,1.069567085,47.38044314,2.605327744,0.371962957,98.93044224,9.625806197,0.801356995,2.899525646,2.158178674,1.206945404,16.73357196,0.371962957,1.582280826,0.371962957
0,0.702578906,7.607763627,21.4142779,1.088877482,11.63261448,1.57843213,1.072987925,0.503620813,6.435426898,3.651993277,40.84793553,5.66428846,1.744933849,75.97161906,31.88893439,128.0528984,0.540765909,6.075489358,2.70492358,1.440948389,0.7852567,2.19989615,0.575306159,7.175776063,23.42495808,2.168117036,1.639698094,0.575045675,0.829278588,10.59135357,320.1815035,8.284762952,7.685492214,0.325605677,1.276217965,44.11462008,114.3095255,11.87043686,8.953478867,16.56337847,2.188486927,2.230789617,21.14139429,6.910915381,40.1187872,1.324876477,4.739933015,0.852878487,0.325605677,8.175203153,6.643866628,30.81688421,5.564522881,53.38490024,1.751862738,1.531805397,6.922428797,1.820943238,0.820734695,78.94426866,5.261579358,0.325605677,0.879968879,0.760302281,0.325605677,5.419328797,0.325605677,1.353842358,1.222610246
0,1.40063245,13.38586061,19.85484467,0.881488547,5.315679389,5.080895556,1.211827694,2.27363539,14.39228127,6.352768143,93.8334735,13.06778869,4.707805552,81.91387044,49.25604336,199.0093904,0.620556131,3.952494292,9.042198277,1.435543344,1.023668582,3.103057359,1.835980984,9.029977158,37.10174871,3.076954894,0.721553301,0.716434267,2.741404477,12.41817858,386.6483903,16.60222849,23.37318948,0.244606846,2.561777089,94.52468153,213.2615208,23.9182975,7.617123589,18.31968768,1.68157983,3.595038096,29.92126494,4.457618497,13.55059206,0.677280569,1.895564703,0.74885482,0.17294036,14.15205558,31.3349025,20.68611134,5.040542805,71.28560153,1.255639252,10.83376818,19.26790815,1.607284652,1.231612071,69.72752418,6.345343237,0.353167275,1.431761715,0.705319966,1.218376369,4.119900561,0.17294036,9.961595351,9.086240422
0,0.342212061,1.354612224,84.20670749,0.904808691,7.35098885,18.0054648,1.634769832,12.23531316,36.61148895,17.4795533,74.9191634,29.579533,19.40743917,178.0746546,108.7374719,402.2033872,1.877329741,18.05875862,6.019647046,3.851208911,2.147996667,5.896906987,1.189802895,36.63676702,73.93852051,3.861429645,1.341288768,2.352502595,3.01758033,52.90005303,743.3291307,36.06732615,17.36009848,0.965859322,2.233230285,240.9244093,216.2752852,66.39224265,64.63445899,43.74209324,2.391195372,3.016120225,96.83789156,2.097440539,69.67829975,1.596533337,4.057357457,0.966589375,0.570353436,24.12211756,2.139144782,82.48880294,29.5579052,185.0662752,5.14778197,7.615541588,54.27930452,3.101627612,0.781612348,141.4599717,8.718468248,1.345304056,6.027860135,3.453695381,1.929437231,20.99220042,0.570353436,0.81911879,0.570353436
0,1.229496095,11.38113794,98.58773807,1.397831913,3.934410665,21.28160777,2.614396915,12.93383417,49.12823524,9.452513587,13.13752785,34.53941409,19.20850257,144.7763304,224.7964464,323.5453792,0.854687384,11.05021775,5.918117617,4.11621798,2.033655713,14.8173348,1.439597415,45.88102534,85.98165886,2.359519271,0.880356569,1.945762877,2.574484226,106.5013357,323.7078864,35.35106216,7.095426134,0.343156483,2.363649501,294.9171347,295.4766071,91.31096782,81.98622116,3.361852722,1.34626194,1.577747815,145.9720513,0.705728906,42.97369091,0.40777335,1.187576192,0.697931649,0.144751047,26.869307,1.87018353,66.30914234,53.71313781,183.9465428,1.502901873,2.497052066,26.0683898,2.767910225,1.203209305,20.43560545,3.544123241,0.574796759,5.921630242,1.460248565,2.849511216,31.49848409,0.144751047,0.963655972,0.994844998
0,1.77584821,7.005531879,15.59393809,2.164849348,1.136316904,1.661651644,1.065325723,0.572509524,5.288155975,4.612136728,13.41733321,6.364779219,1.85661022,14.33701251,63.73588232,50.54373619,1.326390066,8.403065795,1.998745251,1.655850214,0.572509524,0.954182541,0.572509524,4.180998889,36.81526313,0.954182541,2.572170791,0.954182541,1.19295718,7.5978884,17.28474955,4.258860184,0.954182541,1.814168181,1.270055129,50.21076465,9.229922217,2.928806057,5.069075663,59.68083553,5.834711734,2.233092483,14.38830937,56.20287833,4.947550975,16.06385391,3.994589788,0.572509524,0.572509524,9.499994044,50.51869844,12.3668164,4.971367371,36.70839469,11.61659992,0.954182541,2.198741912,2.032637815,0.572509524,218.1787997,10.53356457,0.572509524,0.954182541,0.954182541,0.572509524,0.572509524,0.572509524,6.704010196,6.455770066
0,4.91822,11.28298,119.94458,1.42029,4.5631,24.53781,4.06239,11.50663,59.11956103,15.02455649,77.23415509,58.21912849,27.45409646,262.4965599,100.4346977,365.5909889,3.701252556,34.30745431,10.95788163,6.677799693,4.870344839,10.25136847,1.927309765,65.08881995,100.0495624,4.883637018,0.662750344,1.649582057,2.040293295,129.6012887,472.2146607,48.81457326,10.80288129,0.512875383,14.06858966,352.364594,399.7930633,97.0610748,61.65470642,2.876123591,3.636199727,9.366987924,75.62602661,0.612285118,65.13782078,1.695316168,2.24001393,2.163583896,0.352017477,20.98502905,5.612679293,94.7877741,30.51546572,170.4555922,4.578592754,5.913443025,96.3922416,10.127402,1.388694865,71.96594602,6.542456014,1.611395201,9.998704407,4.765584437,2.658098047,13.38702751,0.352017477,1.074132048,1.301112916
0,0.55519,3.93744,7.576,1.28683,1.92177,2.10236,0.57976,0.43186,3.591274934,1.91478164,24.4800478,2.807258495,0.630792435,4.296402875,25.23241868,30.38406304,0.281744638,0.604240821,2.087389675,0.297206784,0.332188198,1.47652222,0.390881241,1.916269251,12.58708821,0.499792448,0.602392576,0.383758737,1.011801344,2.935463575,93.16195251,4.635127549,0.38727491,0.169046783,0.631694018,16.81046288,24.40643356,3.692838241,2.248502529,43.5234609,0.593872618,1.185806833,4.794662632,9.737906117,4.132224639,0.602933526,1.768544903,0.57169368,0.169046783,6.604860662,27.225052,6.110928503,2.003362154,25.34944413,0.940486142,0.281744638,1.812181512,0.561821348,0.481445238,80.18096275,5.376183565,0.169046783,0.590311366,0.281744638,0.169046783,1.217542549,0.169046783,1.645478845,1.539678098
0,0.47683676,41.40818585,92.15212953,1.4678821,6.057072574,15.1521282,2.076558341,7.704408624,27.66732836,27.04308053,85.97214519,22.26917636,9.774599914,96.02225848,84.09019715,326.6830094,1.180188282,8.942938472,19.2682191,3.253770719,1.614255068,15.85458003,2.017247876,43.90254731,83.02510024,3.153766492,1.225103675,1.429472173,5.857271743,54.09405066,524.1331527,40.86387219,4.143358484,0.677883318,5.040074579,231.8340877,93.36616008,64.04588989,14.75827073,32.77612556,2.500659308,7.761296841,104.1794198,40.33755237,29.4837373,2.297052088,5.601136351,0.920523329,0.259526538,23.76598702,22.94878986,62.07383424,33.01717381,160.641183,1.815509247,1.625881857,97.53671694,5.89284418,2.224107829,160.0854501,13.92487911,1.916966822,7.43200957,2.009496684,3.476409885,9.602135879,1.170776119,4.247584342,4.632237275
0,1.804070467,7.340881345,131.2986059,1.062425292,5.579952603,24.1827222,3.976920643,12.73163448,46.38189021,20.66993703,6.813336228,37.84121208,19.87389017,160.3430241,151.703387,268.9698976,2.905294357,24.35538561,18.23720702,6.503462185,1.586978477,3.293891592,2.370221154,45.37808104,110.9272186,4.152575987,0.906877015,1.54747211,4.068158474,91.55282019,269.6115222,28.53675492,12.02750105,0.586193412,6.497832206,113.6778333,171.6637858,31.81005688,43.95820034,0.4019805,2.089976885,4.747745195,50.4980161,0.811521257,77.00160867,3.265194785,1.395333992,1.406561779,0.309101932,19.05969869,12.57180742,74.98327729,29.09312553,107.9841873,2.240088211,5.759951074,34.48600198,4.39234875,0.751586109,29.85400915,4.328520874,0.479352497,7.727612645,1.557155674,1.998835568,14.13845363,0.201070678,2.213192997,2.300698956
0,2.966415001,8.35517863,28.21655011,3.121967853,3.739829678,4.744140816,1.639276404,1.803897029,8.580619683,3.598947451,61.95905998,4.342578549,1.732608116,17.54768868,41.08991245,147.7774209,0.46938626,0.980941349,9.498897561,0.796194692,0.936560867,16.17395795,1.440817505,12.98217562,72.63625196,7.137959134,0.625381442,2.095024144,2.772010797,21.06487873,286.6567026,26.2142679,3.12867653,0.27645649,1.477530927,38.52985163,63.15644833,10.13504238,4.203539364,58.45447635,1.397469128,1.137010253,46.36617672,7.520206308,64.60250008,3.798733341,2.281613844,0.701904598,0.27645649,10.73646425,6.157902446,57.18373487,12.18811885,123.831202,3.145558807,1.957680559,4.342357383,2.415345064,0.27645649,167.6367282,9.139651567,0.461571756,1.065868783,1.005711851,1.110175543,6.988082856,0.27645649,2.543989484,2.781004848
0,2.129719659,13.95450232,24.7187723,3.184940183,4.702469394,3.349186401,1.722789732,1.181287529,4.839309741,4.827780375,86.656229,3.925843721,1.181287529,11.50744158,54.13283176,88.2079683,0.708772517,1.837894388,3.505872379,1.181287529,1.181287529,2.74984836,1.181287529,4.408376051,74.78551788,1.872671493,2.653455298,0.708772517,1.440225755,9.189849954,154.0595503,7.336457073,1.7186316,2.041453855,1.516773187,52.67729652,31.88814806,14.78178161,7.386732671,78.82703327,1.848856737,3.164527535,14.32476509,41.47680068,23.56281157,9.155261855,5.959170318,1.181287529,1.475380872,15.5432868,30.52276868,18.59630079,7.711066974,54.67773607,11.94026533,0.708772517,2.843217327,2.72811267,1.614489291,285.5776776,17.36738375,1.181287529,0.963552611,1.219655747,1.181287529,6.941245518,10.15718269,4.242050767,4.850839107
