	12	15	19	2	21	23	25	27	28	30	32	33	34	35	36	39	40	42	43	44	46	47	48	49	5	50	53	54	56	57	60	62	64	65	67	68	70	71	8	Sample name	C12A	C15B	C19B	C21B	C23A	C25B	C27A	C28A	C2A	C30B	C32B	C33A	C34B	C35B	C36A	C39A	C40B	C42A	C43A	C44B	C46B	C47A	C48A	C49A	C50B	C53A	C54A	C56B	C57A	C5A	C60A	C62B	C64B	C65A	C67B	C68A	C70A	C71B	C8A
alpha tocophereol	14149.29	13377.48	18600.71	12443.21	10100.76	16966.79	12781.47	11525.73	12521.38	16911.30	13181.56	16497.88	18991.18	14041.41	14190.62	11907.70	20114.82	0	19458.74	13376.03	23028.95	21571.51	23369.93	15302.41	22633.67	18982.22	18298.60	13896.97	27646.43	18557.57	20283.26	21224.98	23228.68	20499.00	0	0	24855.08	17227.07	18947.75	0	14010.47	14814.10	15822.01	10650.19	16525.40	16654.54	19038.60	15201.93	18734.94	16595.46	15044.16	19680.31	13655.01	16833.92	20945.33	17764.94	20602.24	19867.25	21843.27	18657.43	15507.06	24092.31	15617.91	20158.28	16365.49	17491.04	22098.48	22999.70	14816.45	10549.08	16551.81	30318.51	20325.70	17433.94	19927.98	17487.72	21001.13	22600.23	14116.74
Arachidonic acid	5865.02	7017.69	6242.07	6017.84	5305.88	5628.03	6212.38	6436.11	5617.23	7634.14	5238.06	7635.72	6871.72	7334.00	5403.58	6854.53	7523.57	0	6417.15	7476.15	5340.21	7862.41	7007.11	7200.08	5187.15	8414.58	5561.31	6383.97	7227.58	6307.67	6610.24	7276.19	6567.21	7537.40	0	0	6631.38	6922.47	6303.02	0	6166.35	5966.72	6333.47	5328.29	7405.32	8054.60	5105.07	5897.36	5272.10	6647.83	6031.95	7062.30	6238.39	6011.70	7085.42	7156.13	7225.19	5925.55	9224.42	6730.48	7800.28	9099.90	8522.77	6515.75	5535.22	6076.68	7951.00	7368.86	8592.31	6096.39	6057.02	7394.39	8458.86	7197.71	4892.77	7453.02	7278.06	7996.60	5758.84
Asparagine	640.20	318.21	517.16	1317.85	658.51	664.60	137.82	1251.75	484.61	776.40	937.76	746.92	2154.43	1034.63	500.83	1613.76	1068.72	0	1585.64	857.87	1495.33	1440.06	2212.19	1501.58	625.89	1372.74	1742.09	1151.40	6266.26	2524.10	1245.82	6427.63	3740.93	3356.24	0	0	2690.47	1274.58	787.60	0	1025.58	1128.49	949.55	797.50	1685.80	1306.89	963.07	982.18	854.43	748.90	1374.83	1609.01	921.81	1201.51	1288.02	1311.17	2382.92	1340.09	758.81	3168.84	1109.66	2736.37	1278.48	3825.61	1224.92	2382.14	2932.14	2395.35	983.42	3008.87	1378.94	1832.94	1283.68	3272.48	921.26	2068.92	1391.06	4407.55	975.36
Beta-alanine	7374.57	6728.76	14904.75	17453.09	13891.28	10336.36	6432.22	9715.12	8018.42	11571.52	9436.42	10770.63	20053.33	14290.49	11618.44	15608.27	23104.71	0	20440.29	7101.18	33204.90	19870.32	22213.06	17951.40	8021.30	19557.89	21332.86	20226.48	116297.36	28946.87	19502.08	51931.21	37408.16	42872.24	0	0	33787.11	16771.34	12505.22	0	5419.29	12014.71	10021.75	11519.52	16163.57	14816.96	16421.65	20232.83	8232.21	11866.21	22585.56	22707.86	10443.90	14126.92	14423.75	17544.85	27625.16	21825.20	13725.23	37470.72	16827.02	37630.67	22628.59	30636.40	20973.37	29358.67	40429.98	31437.54	18836.57	28608.24	17535.79	37884.25	23378.77	45055.02	18791.83	22331.90	18050.88	28208.98	15407.56
Cholesterol	141320.51	155268.41	164598.24	193854.71	130656.08	150337.27	123691.40	106726.95	162581.13	213084.69	138033.75	208748.83	163649.09	145173.86	174300.12	155097.33	148192.23	0	208231.12	138697.93	233300.27	237769.85	216195.95	123183.22	186205.79	170992.43	123427.59	157056.59	204269.35	178666.34	179567.32	169384.89	190495.76	177732.02	0	0	219779.71	182149.14	201024.26	0	122863.17	148395.20	150879.38	88160.69	156603.42	181840.03	188638.00	161412.58	158688.85	163434.18	164427.44	194110.81	118719.01	160424.46	221857.72	196212.70	170308.07	228686.20	203063.79	201626.98	170874.59	263629.35	158379.13	226460.29	163734.62	137833.97	157780.32	179616.45	168443.41	131152.50	163291.11	249870.32	163312.25	201404.40	225982.49	216846.53	190045.13	211955.29	164564.73
Citramalic acid	3698.71	3660.15	4934.79	4402.14	5358.71	4137.76	3618.64	4811.98	4246.24	3316.88	4397.57	5768.60	7374.65	4696.55	4653.61	4720.06	5192.89	0	6111.58	3538.01	5962.02	8083.71	5072.84	6310.47	3387.83	7115.65	7472.38	6426.45	10252.46	7439.89	5002.86	15590.98	8808.06	7831.17	0	0	8396.59	6835.74	3719.04	0	2205.61	5217.89	4755.19	4626.24	6187.67	6318.22	4001.32	4026.34	3812.56	4493.59	4643.57	6287.06	4131.16	4811.43	4058.45	5633.78	7908.77	6722.43	5801.22	7758.76	5559.17	8418.25	5561.21	5325.45	6139.24	9511.52	7556.74	8107.12	6540.39	5983.50	5370.09	7144.70	7457.63	9411.85	9277.03	7184.28	5136.61	8274.29	4087.93
Creatinine	15055.46	15028.18	19018.44	16692.53	14118.67	20294.86	16379.26	23788.50	8819.59	16577.28	14918.91	11692.12	26456.30	21962.38	16126.81	20548.07	15624.88	0	40719.10	17621.05	28301.91	30918.38	35444.86	31127.78	14069.10	19734.49	37123.55	18085.12	43842.80	33129.34	25811.86	41840.45	60609.73	27002.32	0	0	43298.76	25768.77	13990.53	0	14052.73	23857.74	20437.88	17458.59	12105.22	18643.09	9769.35	16468.22	16281.92	15250.11	20619.23	19157.87	15645.01	23361.71	23941.84	27542.99	38305.16	21484.97	17660.04	28768.46	23736.32	29323.67	31403.35	40346.79	15698.69	31473.84	13737.66	18365.82	27679.65	21404.32	34608.34	16142.67	36197.07	38670.23	24590.50	25787.20	22244.54	37939.48	14972.00
Fructose	7887.96	6712.86	10114.76	6020.64	12634.37	13168.74	7161.11	11097.78	9088.94	8498.60	8946.50	38449.37	18948.50	13458.64	8833.94	17790.83	17524.30	0	19033.89	8045.66	20027.59	19042.16	12890.48	23125.74	8353.51	26022.86	15827.37	21879.03	22718.33	15986.83	17230.67	20149.33	31719.73	17748.02	0	0	32389.53	17332.58	7991.41	0	5234.57	17715.46	9138.06	8806.08	17179.17	12649.93	6334.66	13651.23	3711.03	12085.94	6694.03	15059.83	12645.55	15040.14	10497.17	21237.59	23295.92	15903.18	27110.81	21451.67	14426.62	27260.06	19449.80	13601.04	17166.64	24578.63	31167.97	36193.95	49256.52	11211.45	20458.04	10747.53	15667.97	26056.73	18340.38	47282.84	18753.72	19231.80	10393.38
Glutamic acid	35805.32	42571.48	70631.14	62221.35	51421.05	45646.78	39139.66	43799.16	43336.38	43613.02	43865.07	49180.81	51287.74	47422.85	42881.54	43867.68	48570.62	0	64278.44	34550.16	68456.52	47177.66	75741.24	49277.48	40056.00	50949.71	57775.12	44720.26	70838.60	78885.48	56244.95	74293.46	49018.97	61049.70	0	0	61437.48	16572.95	48114.89	0	29849.05	44457.23	50045.21	49921.33	56417.68	46357.56	35382.41	71028.12	33051.21	40893.35	60742.54	60209.04	37239.33	44877.10	53152.62	60242.94	43161.11	52911.10	42905.52	76401.07	58326.44	68590.92	57574.46	67642.28	55740.26	56491.25	62768.42	81191.23	52450.82	78351.86	50251.22	67643.74	56396.45	90793.84	60066.60	45658.86	50656.96	61709.14	45825.85
Glutamine	8946.30	8759.01	21289.59	22596.22	18024.35	14335.41	5927.45	12823.88	9838.88	11035.34	13292.30	13529.67	21434.16	19205.41	13205.53	16561.13	18985.06	0	17266.28	7491.08	25662.58	22144.11	17961.63	26441.64	9628.40	10862.92	12890.96	19675.71	98474.20	29476.55	17497.29	68201.93	38101.20	44054.18	0	0	25213.63	1737.59	23591.76	0	5479.32	14584.42	11639.10	11741.83	24894.42	10338.35	17777.50	17652.51	10344.92	13164.92	19258.83	24407.44	14632.43	15384.21	18542.37	21895.06	28521.83	19609.18	13158.20	47396.84	9290.51	65049.16	17288.07	27488.09	20532.27	22120.99	34479.55	31275.04	10523.50	39548.35	20394.95	26958.37	17921.62	68112.02	18796.51	24465.17	12418.88	28848.40	16018.22
