Est,Sel_way,Fs_num,Norm,Miss_vals,Splits,Rnds,In_sel,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed
LGBMClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.666,0.118,0.017,0.683,0.632,0.697,0.635,0.717,0.621,0.09,0.013,0.625,0.598,0.648,0.625,0.688,0.592,0.096,0.014,0.61,0.565,0.617,0.577,0.635,0.724,0.118,0.017,0.7,0.692,0.755,0.7,0.8,0.684,0.082,0.012,0.7,0.661,0.708,0.664,0.727,0.698,0.079,0.011,0.7,0.677,0.719,0.667,0.737,0.788,0.097,0.014,0.808,0.761,0.814,0.765,0.843,0.459,0.18,0.026,0.5,0.409,0.509,0.381,0.5,0.19,0.2,0.029,0.24,0.133,0.247,0.149,0.301
LinearDiscriminantAnalysis,none,181,minmax,median,5,10,Validation_score,0.74,0.112,0.016,0.742,0.71,0.77,0.691,0.794,0.685,0.107,0.015,0.688,0.657,0.715,0.625,0.75,0.676,0.113,0.016,0.667,0.645,0.707,0.625,0.73,0.719,0.149,0.021,0.739,0.677,0.76,0.7,0.8,0.766,0.103,0.015,0.75,0.737,0.795,0.727,0.8,0.731,0.102,0.015,0.737,0.702,0.76,0.7,0.778,0.845,0.068,0.01,0.854,0.825,0.863,0.815,0.881,0.633,0.211,0.03,0.667,0.578,0.689,0.536,0.714,0.357,0.228,0.033,0.333,0.296,0.422,0.257,0.457
LinearDiscriminantAnalysis,mrmr,10,minmax,median,5,10,Validation_score,0.76,0.136,0.019,0.767,0.723,0.796,0.75,0.833,0.684,0.128,0.018,0.688,0.648,0.719,0.625,0.75,0.659,0.132,0.019,0.671,0.621,0.698,0.619,0.73,0.77,0.149,0.021,0.789,0.726,0.811,0.7,0.8,0.733,0.098,0.014,0.727,0.708,0.76,0.7,0.769,0.745,0.108,0.015,0.749,0.716,0.775,0.7,0.789,0.858,0.081,0.012,0.872,0.836,0.88,0.838,0.899,0.549,0.199,0.028,0.571,0.49,0.604,0.5,0.667,0.333,0.287,0.041,0.346,0.25,0.414,0.238,0.467
LogisticRegression,none,181,minmax,median,5,10,Validation_score,0.826,0.099,0.014,0.829,0.799,0.854,0.783,0.867,0.758,0.097,0.014,0.781,0.731,0.785,0.688,0.812,0.748,0.107,0.015,0.748,0.718,0.778,0.683,0.817,0.792,0.128,0.018,0.8,0.755,0.826,0.789,0.8,0.821,0.107,0.015,0.809,0.791,0.851,0.778,0.833,0.797,0.087,0.012,0.824,0.774,0.821,0.772,0.842,0.902,0.06,0.009,0.908,0.885,0.918,0.877,0.931,0.704,0.203,0.029,0.667,0.651,0.76,0.667,0.833,0.507,0.21,0.03,0.568,0.448,0.564,0.378,0.618
LogisticRegression,mrmr,10,minmax,median,5,10,Validation_score,0.742,0.144,0.021,0.733,0.701,0.782,0.717,0.817,0.69,0.096,0.014,0.688,0.661,0.716,0.688,0.75,0.639,0.104,0.015,0.654,0.608,0.667,0.6,0.679,0.868,0.132,0.019,0.9,0.828,0.904,0.8,0.95,0.704,0.071,0.01,0.7,0.685,0.725,0.667,0.727,0.771,0.077,0.011,0.783,0.749,0.792,0.75,0.8,0.846,0.085,0.012,0.845,0.822,0.869,0.816,0.889,0.409,0.192,0.027,0.464,0.357,0.46,0.333,0.5,0.333,0.246,0.035,0.358,0.258,0.394,0.293,0.447
RandomForestClassifier,none,181,minmax,median,5,10,Validation_score,0.683,0.124,0.018,0.704,0.648,0.719,0.619,0.746,0.636,0.108,0.015,0.625,0.608,0.666,0.625,0.688,0.581,0.114,0.016,0.567,0.55,0.612,0.533,0.608,0.833,0.117,0.017,0.844,0.801,0.865,0.8,0.9,0.664,0.08,0.011,0.667,0.643,0.688,0.643,0.679,0.736,0.082,0.012,0.739,0.714,0.758,0.714,0.783,0.814,0.079,0.011,0.812,0.792,0.838,0.784,0.853,0.328,0.186,0.027,0.333,0.274,0.38,0.31,0.333,0.187,0.27,0.039,0.149,0.116,0.263,0.098,0.289
RandomForestClassifier,mrmr,10,minmax,median,5,10,Validation_score,0.706,0.139,0.02,0.717,0.669,0.743,0.658,0.767,0.648,0.116,0.017,0.625,0.616,0.679,0.625,0.688,0.611,0.121,0.017,0.6,0.577,0.644,0.567,0.646,0.776,0.141,0.02,0.8,0.737,0.816,0.7,0.8,0.692,0.094,0.013,0.667,0.667,0.718,0.667,0.7,0.726,0.098,0.014,0.727,0.699,0.753,0.7,0.762,0.812,0.103,0.015,0.828,0.782,0.841,0.787,0.856,0.446,0.191,0.027,0.429,0.393,0.499,0.333,0.5,0.243,0.262,0.037,0.211,0.17,0.318,0.149,0.313
SVC,none,181,minmax,median,5,10,Validation_score,0.791,0.097,0.014,0.783,0.766,0.819,0.74,0.817,0.678,0.088,0.013,0.688,0.651,0.703,0.625,0.688,0.613,0.096,0.014,0.6,0.588,0.639,0.583,0.646,0.907,0.108,0.015,0.9,0.874,0.936,0.9,1.0,0.681,0.068,0.01,0.667,0.662,0.7,0.636,0.707,0.774,0.066,0.009,0.783,0.756,0.792,0.75,0.8,0.877,0.064,0.009,0.881,0.859,0.896,0.859,0.9,0.319,0.187,0.027,0.333,0.269,0.37,0.286,0.381,0.287,0.234,0.033,0.293,0.219,0.348,0.222,0.429
SVC,mrmr,10,minmax,median,5,10,Validation_score,0.714,0.154,0.022,0.708,0.671,0.756,0.667,0.767,0.674,0.126,0.018,0.688,0.64,0.708,0.625,0.719,0.642,0.13,0.019,0.626,0.606,0.678,0.6,0.671,0.783,0.156,0.022,0.8,0.739,0.823,0.778,0.844,0.715,0.106,0.015,0.7,0.684,0.744,0.667,0.727,0.741,0.112,0.016,0.75,0.707,0.772,0.727,0.783,0.822,0.101,0.014,0.819,0.796,0.85,0.79,0.859,0.5,0.2,0.029,0.5,0.448,0.555,0.429,0.571,0.307,0.277,0.04,0.289,0.231,0.383,0.21,0.405
XGBClassifier,none,181,minmax,median,5,10,Validation_score,0.649,0.136,0.019,0.667,0.613,0.684,0.633,0.717,0.615,0.106,0.015,0.625,0.587,0.645,0.562,0.625,0.581,0.112,0.016,0.567,0.552,0.611,0.54,0.617,0.739,0.133,0.019,0.739,0.702,0.775,0.7,0.8,0.676,0.095,0.014,0.667,0.65,0.702,0.655,0.7,0.698,0.09,0.013,0.7,0.672,0.723,0.652,0.732,0.789,0.1,0.014,0.824,0.762,0.816,0.782,0.843,0.422,0.213,0.03,0.464,0.368,0.488,0.333,0.5,0.168,0.242,0.035,0.149,0.1,0.243,0.098,0.264
