Est,Sel_way,Fs_inner,Fs_num,Norm,Miss_vals,In_cv,Out_cv,Rnds,Trials,Class_blnc,In_scor,In_sel,MCC_mean,MCC_std,MCC_sem,MCC_med,MCC_lomean,MCC_upmean,MCC_lomed,MCC_upmed,REC_mean,REC_std,REC_sem,REC_med,REC_lomean,REC_upmean,REC_lomed,REC_upmed,SPEC_mean,SPEC_std,SPEC_sem,SPEC_med,SPEC_lomean,SPEC_upmean,SPEC_lomed,SPEC_upmed,ACC_mean,ACC_std,ACC_sem,ACC_med,ACC_lomean,ACC_upmean,ACC_lomed,ACC_upmed,BAL_ACC_mean,BAL_ACC_std,BAL_ACC_sem,BAL_ACC_med,BAL_ACC_lomean,BAL_ACC_upmean,BAL_ACC_lomed,BAL_ACC_upmed,PREC_mean,PREC_std,PREC_sem,PREC_med,PREC_lomean,PREC_upmean,PREC_lomed,PREC_upmed,F1_mean,F1_std,F1_sem,F1_med,F1_lomean,F1_upmean,F1_lomed,F1_upmed,AUC_mean,AUC_std,AUC_sem,AUC_med,AUC_lomean,AUC_upmean,AUC_lomed,AUC_upmed,AVG_PREC_mean,AVG_PREC_std,AVG_PREC_sem,AVG_PREC_med,AVG_PREC_lomean,AVG_PREC_upmean,AVG_PREC_lomed,AVG_PREC_upmed
LogisticRegression,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.381,0.258,0.037,0.368,0.305,0.451,0.313,0.488,0.767,0.155,0.022,0.778,0.726,0.81,0.7,0.8,0.595,0.193,0.028,0.571,0.539,0.645,0.5,0.667,0.701,0.117,0.017,0.688,0.67,0.733,0.688,0.75,0.681,0.12,0.017,0.675,0.649,0.712,0.65,0.723,0.755,0.097,0.014,0.727,0.729,0.783,0.721,0.778,0.753,0.104,0.015,0.762,0.724,0.782,0.721,0.789,0.781,0.118,0.017,0.783,0.745,0.812,0.742,0.838,0.87,0.075,0.011,0.879,0.85,0.891,0.852,0.905
RandomForestClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.215,0.232,0.033,0.221,0.152,0.277,0.149,0.301,0.784,0.157,0.022,0.8,0.739,0.828,0.8,0.844,0.403,0.174,0.025,0.381,0.356,0.451,0.333,0.5,0.636,0.102,0.015,0.625,0.606,0.665,0.594,0.688,0.594,0.102,0.015,0.6,0.566,0.62,0.567,0.63,0.676,0.075,0.011,0.667,0.654,0.697,0.643,0.7,0.719,0.098,0.014,0.727,0.691,0.745,0.7,0.762,0.679,0.136,0.019,0.683,0.639,0.718,0.65,0.717,0.797,0.103,0.015,0.806,0.768,0.826,0.782,0.834
SVC,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.324,0.272,0.039,0.358,0.244,0.399,0.311,0.457,0.823,0.127,0.018,0.8,0.787,0.859,0.789,0.889,0.47,0.213,0.03,0.5,0.408,0.524,0.333,0.571,0.686,0.111,0.016,0.688,0.655,0.718,0.688,0.75,0.646,0.122,0.017,0.675,0.613,0.677,0.63,0.692,0.718,0.094,0.013,0.714,0.693,0.743,0.692,0.75,0.761,0.085,0.012,0.77,0.737,0.783,0.737,0.8,0.746,0.143,0.02,0.783,0.707,0.786,0.691,0.81,0.85,0.084,0.012,0.856,0.827,0.87,0.829,0.889
XGBClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,one_sem,0.255,0.204,0.029,0.255,0.198,0.311,0.2,0.358,0.739,0.153,0.022,0.778,0.692,0.78,0.7,0.8,0.499,0.159,0.023,0.5,0.453,0.54,0.5,0.5,0.645,0.099,0.014,0.625,0.616,0.67,0.625,0.688,0.619,0.095,0.014,0.61,0.593,0.643,0.592,0.659,0.7,0.081,0.012,0.7,0.678,0.722,0.667,0.714,0.712,0.1,0.014,0.703,0.684,0.738,0.698,0.762,0.707,0.125,0.018,0.708,0.673,0.739,0.675,0.733,0.811,0.101,0.014,0.83,0.783,0.838,0.778,0.855
CatBoostClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,gso_1,0.234,0.212,0.03,0.211,0.175,0.289,0.123,0.293,0.804,0.123,0.018,0.8,0.772,0.837,0.778,0.889,0.402,0.169,0.024,0.333,0.358,0.446,0.333,0.5,0.648,0.093,0.013,0.625,0.622,0.674,0.625,0.688,0.603,0.097,0.014,0.587,0.577,0.63,0.558,0.633,0.682,0.074,0.011,0.667,0.663,0.704,0.643,0.7,0.734,0.078,0.011,0.727,0.711,0.754,0.698,0.762,0.708,0.112,0.016,0.715,0.679,0.738,0.675,0.75,0.813,0.09,0.013,0.834,0.788,0.836,0.789,0.851
ElasticNet,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,gso_1,0.31,0.252,0.036,0.346,0.245,0.374,0.267,0.447,0.882,0.115,0.016,0.9,0.847,0.915,0.8,0.951,0.37,0.181,0.026,0.333,0.32,0.42,0.333,0.5,0.684,0.097,0.014,0.688,0.659,0.71,0.625,0.75,0.626,0.105,0.015,0.646,0.597,0.655,0.583,0.671,0.692,0.069,0.01,0.7,0.674,0.711,0.667,0.727,0.772,0.073,0.01,0.78,0.752,0.791,0.75,0.8,0.735,0.144,0.021,0.733,0.696,0.774,0.698,0.8,0.842,0.086,0.012,0.835,0.817,0.866,0.816,0.893
GaussianNB,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,gso_1,0.291,0.25,0.036,0.313,0.223,0.358,0.27,0.358,0.76,0.184,0.026,0.8,0.703,0.811,0.7,0.889,0.505,0.233,0.033,0.5,0.442,0.564,0.5,0.667,0.662,0.112,0.016,0.688,0.635,0.691,0.625,0.688,0.632,0.115,0.016,0.639,0.601,0.661,0.608,0.679,0.718,0.102,0.015,0.714,0.69,0.746,0.692,0.75,0.725,0.111,0.016,0.737,0.695,0.755,0.696,0.783,0.733,0.136,0.019,0.758,0.695,0.768,0.683,0.783,0.824,0.099,0.014,0.834,0.796,0.851,0.791,0.868
GaussianProcessClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,gso_1,0.319,0.244,0.035,0.333,0.252,0.379,0.257,0.447,0.88,0.118,0.017,0.9,0.846,0.911,0.8,1.0,0.381,0.196,0.028,0.333,0.326,0.434,0.333,0.5,0.686,0.092,0.013,0.688,0.662,0.714,0.625,0.75,0.631,0.102,0.015,0.63,0.602,0.658,0.585,0.667,0.698,0.072,0.01,0.7,0.679,0.719,0.667,0.714,0.773,0.069,0.01,0.78,0.753,0.791,0.737,0.8,0.732,0.146,0.021,0.723,0.689,0.772,0.683,0.783,0.838,0.09,0.013,0.833,0.814,0.863,0.813,0.88
GradientBoostingClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,gso_1,0.225,0.241,0.034,0.2,0.157,0.288,0.149,0.28,0.723,0.151,0.022,0.7,0.68,0.764,0.667,0.8,0.489,0.182,0.026,0.5,0.442,0.537,0.463,0.5,0.631,0.113,0.016,0.625,0.598,0.664,0.625,0.625,0.606,0.115,0.016,0.6,0.574,0.637,0.565,0.633,0.693,0.098,0.014,0.7,0.665,0.72,0.667,0.714,0.701,0.105,0.015,0.7,0.673,0.729,0.667,0.727,0.686,0.13,0.019,0.683,0.648,0.721,0.619,0.742,0.799,0.096,0.014,0.809,0.771,0.826,0.77,0.843
KNeighborsClassifier,mrmr,chi2,10,minmax,median,5,5,10,100,None,matthews_corrcoef,gso_1,0.234,0.279,0.04,0.258,0.159,0.304,0.181,0.333,0.734,0.176,0.025,0.739,0.686,0.78,0.7,0.8,0.48,0.213,0.03,0.5,0.42,0.536,0.381,0.571,0.636,0.127,0.018,0.625,0.604,0.671,0.594,0.688,0.607,0.13,0.019,0.608,0.575,0.64,0.583,0.65,0.693,0.102,0.015,0.692,0.666,0.722,0.667,0.721,0.704,0.118,0.017,0.717,0.674,0.733,0.667,0.762,0.69,0.137,0.02,0.708,0.652,0.728,0.625,0.733,0.802,0.095,0.014,0.802,0.774,0.826,0.779,0.843
