,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
7040,0.3476767476825577,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.6153846153846154,0.5833333333333334,0.6153846153846154,1.0,0.5238095238095238,0.6875,0.3476767476825577
7041,0.3478327964999673,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.6944444444444445,0.7083333333333334,0.6944444444444444,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.3478327964999673
7042,0.20498001542269695,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.5840336134453781,0.7083333333333334,0.5840336134453781,0.8823529411764706,0.75,0.8108108108108109,0.20498001542269695
7043,0.0625,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.53125,0.5833333333333334,0.53125,0.6875,0.6875,0.6875,0.0625
7044,0.23652495839563303,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.6118881118881119,0.625,0.6118881118881119,0.7692307692307693,0.625,0.6896551724137931,0.23652495839563303
7045,0.0,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.5,0.5,0.5,0.8333333333333334,0.5,0.625,0.0
7046,0.29277002188455997,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.6285714285714286,0.6666666666666666,0.6285714285714286,0.8571428571428571,0.6666666666666666,0.75,0.29277002188455997
7047,0.12226666573419243,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.5546218487394958,0.6666666666666666,0.5546218487394958,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.12226666573419243
7048,-0.23652495839563303,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.375,0.375,0.375,0.375,0.5454545454545454,0.4444444444444444,-0.23652495839563303
7049,0.2041241452319315,0.17046027565338767,0.18485704608777195,0.018485704608777194,,oob,validation_score,GradientBoostingClassifier,0.59375,0.6666666666666666,0.59375,0.8125,0.7222222222222222,0.7647058823529411,0.2041241452319315
7050,0.04364357804719848,0.18277365764753525,0.18287110386352065,0.018287110386352064,,oob,gso_1,GradientBoostingClassifier,0.5214285714285715,0.5416666666666666,0.5214285714285715,0.6428571428571429,0.6,0.6206896551724138,0.04364357804719848
7051,0.04364357804719848,0.18277365764753525,0.18287110386352065,0.018287110386352064,,oob,gso_1,GradientBoostingClassifier,0.5222222222222223,0.5416666666666666,0.5222222222222221,0.6,0.6428571428571429,0.6206896551724138,0.04364357804719848
7052,0.04364357804719848,0.18277365764753525,0.18287110386352065,0.018287110386352064,,oob,gso_1,GradientBoostingClassifier,0.5214285714285715,0.5416666666666666,0.5214285714285715,0.6428571428571429,0.6,0.6206896551724138,0.04364357804719848
7053,0.30151134457776363,0.18277365764753525,0.18287110386352065,0.018287110386352064,,oob,gso_1,GradientBoostingClassifier,0.5833333333333333,0.5833333333333334,0.5833333333333334,1.0,0.5454545454545454,0.7058823529411765,0.30151134457776363
7054,0.11952286093343936,0.18277365764753525,0.18287110386352065,0.018287110386352064,,oob,gso_1,GradientBoostingClassifier,0.5625,0.5833333333333334,0.5625,0.625,0.7142857142857143,0.6666666666666666,0.11952286093343936
