,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
20,"[0.8819171036881969, 0.629940788348712, 0.7745966692414834, 0.6071428571428571, 0.8728715609439694]",0.7532937958730438,0.11650980300681442,0.05210476791366928,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.8125, 0.875, 0.8035714285714285, 0.9285714285714286]","[0.9375, 0.8125, 0.875, 0.8, 0.9333333333333333]","[0.9375, 0.8125, 0.875, 0.8035714285714286, 0.9285714285714286]","[1.0, 0.75, 1.0, 0.8571428571428571, 1.0]","[0.8888888888888888, 0.8571428571428571, 0.8, 0.75, 0.8888888888888888]","[0.9411764705882353, 0.8, 0.8888888888888888, 0.8, 0.9411764705882353]","[0.8819171036881969, 0.629940788348712, 0.7745966692414834, 0.6071428571428571, 0.8728715609439694]"
21,"[0.8819171036881969, 0.3779644730092272, 0.8819171036881969, 0.875, 0.8728715609439694]",0.777934048265918,0.20001777074073263,0.08945066641684932,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.6875, 0.9375, 0.9375, 0.9285714285714286]","[0.9375, 0.6875, 0.9375, 0.9333333333333333, 0.9333333333333333]","[0.9375, 0.6875, 0.9375, 0.9375, 0.9285714285714286]","[1.0, 0.625, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.7142857142857143, 0.8888888888888888, 0.875, 0.8888888888888888]","[0.9411764705882353, 0.6666666666666666, 0.9411764705882353, 0.9333333333333333, 0.9411764705882353]","[0.8819171036881969, 0.3779644730092272, 0.8819171036881969, 0.875, 0.8728715609439694]"
22,"[0.75, 0.629940788348712, 0.674199862463242, 0.875, 1.0]",0.7858281301623908,0.13554822064361752,0.06061900711765381,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.8125, 0.8125, 0.9375, 1.0]","[0.875, 0.8125, 0.8125, 0.9333333333333333, 1.0]","[0.875, 0.8125, 0.8125, 0.9375, 1.0]","[0.875, 0.75, 1.0, 1.0, 1.0]","[0.875, 0.8571428571428571, 0.7272727272727273, 0.875, 1.0]","[0.875, 0.8, 0.8421052631578947, 0.9333333333333333, 1.0]","[0.75, 0.629940788348712, 0.674199862463242, 0.875, 1.0]"
23,"[0.629940788348712, 1.0, 0.8819171036881969, 0.7637626158259733, 0.875]",0.8301241015725764,0.12492508785517971,0.05586819770786304,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8125, 1.0, 0.9375, 0.875, 0.9375]","[0.8125, 1.0, 0.9375, 0.8666666666666667, 0.9333333333333333]","[0.8125, 1.0, 0.9375, 0.875, 0.9375]","[0.875, 1.0, 1.0, 1.0, 0.875]","[0.7777777777777778, 1.0, 0.8888888888888888, 0.7777777777777778, 1.0]","[0.8235294117647058, 1.0, 0.9411764705882353, 0.875, 0.9333333333333333]","[0.629940788348712, 1.0, 0.8819171036881969, 0.7637626158259733, 0.875]"
24,"[0.8819171036881969, 0.5163977794943222, 0.8819171036881969, 0.875, 0.8728715609439694]",0.8056207095629372,0.14465707431268812,0.06469261031788186,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.75, 0.9375, 0.9375, 0.9285714285714286]","[0.9375, 0.75, 0.9375, 0.9333333333333333, 0.9333333333333333]","[0.9375, 0.75, 0.9375, 0.9375, 0.9285714285714286]","[1.0, 0.875, 0.875, 1.0, 1.0]","[0.8888888888888888, 0.7, 1.0, 0.875, 0.8888888888888888]","[0.9411764705882353, 0.7777777777777778, 0.9333333333333333, 0.9333333333333333, 0.9411764705882353]","[0.8819171036881969, 0.5163977794943222, 0.8819171036881969, 0.875, 0.8728715609439694]"
25,"[0.7745966692414834, 0.7745966692414834, 0.629940788348712, 1.0, 0.8728715609439694]",0.8104011375551297,0.12245827042459628,0.054765003415289865,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.875, 0.8125, 1.0, 0.9285714285714286]","[0.875, 0.875, 0.8125, 1.0, 0.9333333333333333]","[0.875, 0.875, 0.8125, 1.0, 0.9285714285714286]","[1.0, 1.0, 0.75, 1.0, 1.0]","[0.8, 0.8, 0.8571428571428571, 1.0, 0.8888888888888888]","[0.8888888888888888, 0.8888888888888888, 0.8, 1.0, 0.9411764705882353]","[0.7745966692414834, 0.7745966692414834, 0.629940788348712, 1.0, 0.8728715609439694]"
26,"[0.7745966692414834, 0.8819171036881969, 0.75, 1.0, 0.8728715609439694]",0.85587706677473,0.08894354673382651,0.03977676333135309,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.9375, 0.875, 1.0, 0.9285714285714286]","[0.875, 0.9375, 0.875, 1.0, 0.9333333333333333]","[0.875, 0.9375, 0.875, 1.0, 0.9285714285714286]","[1.0, 1.0, 0.875, 1.0, 1.0]","[0.8, 0.8888888888888888, 0.875, 1.0, 0.8888888888888888]","[0.8888888888888888, 0.9411764705882353, 0.875, 1.0, 0.9411764705882353]","[0.7745966692414834, 0.8819171036881969, 0.75, 1.0, 0.8728715609439694]"
27,"[0.8819171036881969, 0.5163977794943222, 0.7745966692414834, 0.7637626158259733, 0.6071428571428571]",0.7087634050785666,0.13013255154998557,0.05819704627025267,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.75, 0.875, 0.875, 0.8035714285714286]","[0.9375, 0.75, 0.875, 0.8666666666666667, 0.8]","[0.9375, 0.75, 0.875, 0.875, 0.8035714285714286]","[1.0, 0.625, 1.0, 1.0, 0.75]","[0.8888888888888888, 0.8333333333333334, 0.8, 0.7777777777777778, 0.8571428571428571]","[0.9411764705882353, 0.7142857142857143, 0.8888888888888888, 0.875, 0.8]","[0.8819171036881969, 0.5163977794943222, 0.7745966692414834, 0.7637626158259733, 0.6071428571428571]"
28,"[0.8819171036881969, 0.629940788348712, 0.8819171036881969, 0.3392857142857143, 1.0]",0.746612142002164,0.23678990492587396,0.10589566475999329,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9375, 0.8125, 0.9375, 0.6696428571428572, 1.0]","[0.9375, 0.8125, 0.9375, 0.6666666666666666, 1.0]","[0.9375, 0.8125, 0.9375, 0.6696428571428572, 1.0]","[1.0, 0.75, 1.0, 0.7142857142857143, 1.0]","[0.8888888888888888, 0.8571428571428571, 0.8888888888888888, 0.625, 1.0]","[0.9411764705882353, 0.8, 0.9411764705882353, 0.6666666666666666, 1.0]","[0.8819171036881969, 0.629940788348712, 0.8819171036881969, 0.3392857142857143, 1.0]"
29,"[0.7745966692414834, 0.75, 0.8819171036881969, 0.875, 0.8728715609439694]",0.83087706677473,0.05661102228655544,0.025317218821698708,"{'penalty': 'l1', 'C': 0.5691906467074823, 'solver': 'saga', 'max_iter': 953, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.875, 0.875, 0.9375, 0.9375, 0.9285714285714286]","[0.875, 0.875, 0.9375, 0.9333333333333333, 0.9333333333333333]","[0.875, 0.875, 0.9375, 0.9375, 0.9285714285714286]","[1.0, 0.875, 1.0, 1.0, 1.0]","[0.8, 0.875, 0.8888888888888888, 0.875, 0.8888888888888888]","[0.8888888888888888, 0.875, 0.9411764705882353, 0.9333333333333333, 0.9411764705882353]","[0.7745966692414834, 0.75, 0.8819171036881969, 0.875, 0.8728715609439694]"
